"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","Simplex TDMA","Slot Suit","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Through Mode","APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude channel from roaming","DMR MODE","DataACK Disable","R5toneBot","R5ToneEot","Auto Scan","Ana Aprs Mute","Send Talker Alias","AnaAprsTxPath","ARC4","ex_emg_kind"
"1","SKY USA","446.55000","446.55000","D-Digital","Low","12.5K","Off","Off","TG3100 BM US Nat","Group Call","3100","Andrew N2ZT","Different Color Code","Carrier","Off","1","1","1","Off","1","2","SKY Scan List","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"2","SKY TAC310","446.55000","446.55000","D-Digital","Low","12.5K","Off","Off","TG310 Tac 310 US","Group Call","310","Andrew N2ZT","Different Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"3","SKY TAC311","446.55000","446.55000","D-Digital","Low","12.5K","Off","Off","TG311 TAC 311 US","Group Call","311","Andrew N2ZT","Different Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"4","SKY TAC312","446.55000","446.55000","D-Digital","Low","12.5K","Off","Off","TG312 TAC 312 US","Group Call","312","Andrew N2ZT","Different Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"5","SKY WorldWide","446.55000","446.55000","D-Digital","Low","12.5K","Off","Off","TG91 World-wide","Group Call","91","Andrew N2ZT","Different Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"6","SKY WW TAC 1","446.55000","446.55000","D-Digital","Low","12.5K","Off","Off","TG901 WW Tac 1","Group Call","901","Andrew N2ZT","Different Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"7","SKY WW TAC 2","446.55000","446.55000","D-Digital","Low","12.5K","Off","Off","TG902 WW Tac 2","Group Call","902","Andrew N2ZT","Different Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"8","SKY WW TAC 3","446.55000","446.55000","D-Digital","Low","12.5K","Off","Off","TG903 WW Tac 3","Group Call","903","Andrew N2ZT","Different Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"9","SKY WW Eng","446.55000","446.55000","D-Digital","Low","12.5K","Off","Off","TG913 English","Group Call","913","Andrew N2ZT","Different Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"10","SKY North Am","446.55000","446.55000","D-Digital","Low","12.5K","Off","Off","TG31672 PI-Star","Group Call","31672","Andrew N2ZT","Different Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"11","SKY NET 1","446.55000","446.55000","D-Digital","Low","12.5K","Off","Off","TG31001 Net Talk","Group Call","31001","Andrew N2ZT","Different Color Code","Carrier","Off","1","1","1","Off","1","2","SKY Scan List","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"12","SKY NET 2","446.55000","446.55000","D-Digital","Low","12.5K","Off","Off","TG31002 Net Talk","Group Call","31002","Andrew N2ZT","Different Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"13","SKY Parrot","446.55000","446.55000","D-Digital","Low","12.5K","Off","Off","PC9990 Parrot","Private Call","9990","Andrew N2ZT","Different Color Code","Carrier","Off","1","1","1","Off","1","2","SKY Scan List","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"14","SKY NY","446.55000","446.55000","D-Digital","Low","12.5K","Off","Off","TG3136 New York","Group Call","3136","Andrew N2ZT","Different Color Code","Carrier","Off","1","1","1","Off","1","2","SKY Scan List","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"15","SKY TG Disc","446.55000","446.55000","D-Digital","Low","12.5K","Off","Off","PC4000 Disconnec","Group Call","4000","Andrew N2ZT","Different Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"17","WB0YRG WW","444.46250","449.46250","D-Digital","Turbo","12.5K","Off","Off","TG91 World-wide","Group Call","91","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","4","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"18","WB0YRG PARROT","444.46250","449.46250","D-Digital","Turbo","12.5K","Off","Off","PC9990 Parrot","Private Call","9990","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","4","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"19","WB0YRG USA","444.46250","449.46250","D-Digital","Turbo","12.5K","Off","Off","TG3100 BM US Nat","Group Call","3100","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","4","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"20","WB0YRG MO","444.46250","449.46250","D-Digital","Turbo","12.5K","Off","Off","TG3129 Missouri","Group Call","3129","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","4","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
